Date,Open,High,Low,Close,Volume
2015-06-22,50.53,50.79,50.03,50.28,1012335
2015-06-23,50.42,50.5,49.75,50.02,1008401
2015-06-24,49.82,50.08,49.57,49.7,798936
2015-06-25,49.89,49.92,49.29,49.37,667639
2015-06-26,49.4,49.73,49.15,49.7,674963
2015-06-29,49.27,49.73,48.9,48.93,782165
2015-06-30,49.24,49.42,48.36,48.63,1375956
2015-07-01,48.77,49.28,48.52,49.17,812598
2015-07-02,49.54,49.87,49.505,49.85,698689
2015-07-06,49.78,50.21,49.6806,50.21,1562681
2015-07-07,50.25,51.24,50.23,51.08,1167625
2015-07-08,50.9,51.28,50.57,51.18,922651
2015-07-09,51.43,51.4416,50.01,50.18,1437458
2015-07-10,50.29,51.06,50.01,50.79,834335
2015-07-13,51.07,51.32,50.71,50.99,595545
2015-07-14,51.23,51.44,50.9701,51.19,710692
2015-07-15,51.22,51.28,50.92,51.25,597929
2015-07-16,51.44,51.94,51.2,51.78,560533
2015-07-17,51.84,51.91,51.31,51.31,695371
2015-07-20,51.31,51.6,51.0,51.36,617723
2015-07-21,51.29,51.41,50.63,50.76,586183
2015-07-22,50.63,51.34,50.63,51.14,550632
2015-07-23,51.11,51.34,50.24,50.44,643391
2015-07-24,50.46,51.04,50.4325,50.94,603382
2015-07-27,50.89,51.72,50.775,51.61,794654
2015-07-28,51.51,51.74,51.08,51.48,755753
2015-07-29,51.37,51.74,51.144,51.71,518192
2015-07-30,51.57,51.97,51.44,51.59,537411
2015-07-31,51.96,52.44,51.63,51.91,523937
2015-08-03,51.92,52.43,51.835,52.08,684650
2015-08-04,52.07,52.15,51.17,51.23,600626
2015-08-05,51.52,52.1,51.35,51.6,666838
2015-08-06,50.91,51.85,50.58,51.77,1016788
2015-08-07,51.65,52.55,51.37,52.31,689697
2015-08-10,52.31,52.7,52.1,52.26,529039
2015-08-11,52.38,53.13,52.1346,53.12,839656
2015-08-12,52.74,53.838,52.6,53.74,934767
2015-08-13,53.64,54.45,53.56,54.18,956339
2015-08-14,53.97,54.31,53.84,54.29,635897
2015-08-17,54.4,54.81,54.26,54.68,697947
2015-08-18,54.5,54.79,54.082,54.63,590350
2015-08-19,54.35,54.87,54.1508,54.8,557587
2015-08-20,54.42,54.85,53.9,54.19,1029285
2015-08-21,53.59,54.44,53.59,54.02,1036209
2015-08-24,52.22,52.98,50.16,51.93,1925767
2015-08-25,52.74,53.04,51.35,51.35,1782287
2015-08-26,51.88,52.29,50.54,52.14,1448106
